순위,구분,시나리오,resid_delta,pred_W,의사결정 포인트
1,Pareto,공격적 (std=0.652),4.889,91.2,상한선 후보: upside는 가장 크지만 불확실성 확인 필요
2,Pareto,균형점 (std=0.205),3.72,90.0,균형 후보: 개선 폭과 안정성의 기본 검토안
3,Pareto,보수적 (std=0.002),2.919,89.2,안정 후보: 모델 간 의견 차이가 작을 때 참고
4,그리드,전체 복합 개선 상한 (delta=+2.00),1.995,88.3,보조 비교 후보
5,그리드,접전 전용 최적 (delta=+1.83),1.833,88.1,운영 개선 후보: 접전·연장 성과 개선 우선
6,수동,Bullpen Upgrade,1.181,87.5,보조 비교 후보
7,그리드,불펜 전용 최적 (delta=+0.13),0.13,86.4,불펜 단독 개선의 한계 확인
8,수동,Baseline 2025,0.0,86.3,baseline과 차이가 작아 우선순위 낮음
9,그리드,baseline (현재 수준) (delta=+0.00),0.0,86.3,baseline과 차이가 작아 우선순위 낮음
10,수동,Hitter Boost,0.0,86.3,baseline과 차이가 작아 우선순위 낮음
11,그리드,투구 프로파일 최적 (delta=+0.02),0.023,86.3,baseline과 차이가 작아 우선순위 낮음
12,그리드,전체 복합 악화 하한 (delta=-0.68),-0.679,85.6,downside 점검용 시나리오
